# WDDM 3.2 DRIVER_INITIALIZATION_DATA slot classification.
#
# Normative: docs/HELIOS_PRESENT_SYNC_RETIREMENT.md section 17.6:4460-4462
# ('classify every slot through 3.2 as implemented or disabled behind a
# truthful zero capability') and section 18.1:4653-4656.
#
# Format: <slot name>\t<Implemented|Disabled|Pending>\t<reason>
# Rows MUST be in WDK declaration order; the generator hard-fails otherwise.
#
#   Implemented - registered by build_ddi_table(); must be non-NULL.
#   Disabled    - must be NULL; the reason names the zero capability that
#                 makes the slot unreachable.
#   Pending     - must be NULL today; the reason names the retirement lane
#                 that will register it. Reclassify in the SAME changeset
#                 that registers the slot, or DriverEntry refuses to load.
#
# Regenerate the outputs with:
#   python3 kmd_render/tools/gen_wddm32_slot_audit.py
DxgkDdiAddDevice	Implemented	PnP: adapter object creation.
DxgkDdiStartDevice	Implemented	PnP: transport bring-up, HPM1 negotiation, segment/placement init.
DxgkDdiStopDevice	Implemented	PnP: drain and tear down the transport.
DxgkDdiRemoveDevice	Implemented	PnP: free the adapter object.
DxgkDdiDispatchIoRequest	Implemented	Legacy video-port IRP path; refuses every code and counts through StVrp.
DxgkDdiInterruptRoutine	Implemented	INTx ISR: read-to-clear virtio ISR status, queue the DPC.
DxgkDdiDpcRoutine	Implemented	Drain the used ring and complete WDDM submissions.
DxgkDdiQueryChildRelations	Implemented	One video-output child when the display half is active.
DxgkDdiQueryChildStatus	Implemented	Child connection status for that one target.
DxgkDdiQueryDeviceDescriptor	Implemented	EDID for the one monitor target.
DxgkDdiSetPowerState	Implemented	Power transitions for the adapter and its one child.
DxgkDdiNotifyAcpiEvent	Implemented	Platform ACPI events; services none and reports zero flags.
DxgkDdiResetDevice	Implemented	Crash-dump quiesce; deliberately programs no hardware.
DxgkDdiUnload	Implemented	Driver-wide unload; releases the cached BAR MMIO mappings.
DxgkDdiQueryInterface	Implemented	Exports no driver interface; logs the requested GUID and refuses.
DxgkDdiControlEtwLogging	Implemented	C42 provider enable bit and level (section 12.3).
DxgkDdiQueryAdapterInfo	Implemented	The whole capability surface, including NATIVE_FENCE_CAPS.
DxgkDdiCreateDevice	Implemented	Per-D3D-device state, exact hKmdProcess.
DxgkDdiCreateAllocation	Implemented	HWA2 create-time descriptor, HVM1 roles, HOC1 admission.
DxgkDdiDestroyAllocation	Implemented	Allocation teardown with generation-safe host unref.
DxgkDdiDescribeAllocation	Implemented	Primary geometry for the display path.
DxgkDdiGetStandardAllocationDriverData	Implemented	Standard (shared primary / cross-adapter) allocation shapes.
DxgkDdiAcquireSwizzlingRange	Disabled	DXGK_DRIVERCAPS::NumberOfSwizzlingRanges=0; the swizzling-range family is unreachable.
DxgkDdiReleaseSwizzlingRange	Disabled	DXGK_DRIVERCAPS::NumberOfSwizzlingRanges=0; the swizzling-range family is unreachable.
DxgkDdiPatch	Implemented	Infallible idempotent physical-capability snapshotter (section 10.7:1856).
DxgkDdiSubmitCommand	Implemented	Physical submit: epoch validation plus one fenced SUBMIT_3D.
DxgkDdiPreemptCommand	Implemented	Preemption request; reports DMA_PREEMPTED.
DxgkDdiBuildPagingBuffer	Implemented	HPM1 paging DMA encoding (section 17.6:4421).
DxgkDdiSetPalette	Disabled	No palettized mode is enumerated; every VidPn source mode is 32bpp RGB.
DxgkDdiSetPointerPosition	Implemented	Hardware pointer position.
DxgkDdiSetPointerShape	Implemented	Hardware pointer shape.
DxgkDdiResetFromTimeout	Implemented	TDR reset.
DxgkDdiRestartFromTimeout	Implemented	TDR restart.
DxgkDdiEscape	Disabled	Section 17.6:4494 and 18.1:4667: DxgkDdiEscape is NULL and no Escape entry point is present in the selected KMD.
DxgkDdiCollectDbgInfo	Implemented	OS-requested bounded debug snapshot.
DxgkDdiQueryCurrentFence	Implemented	Last completed submission fence for a node.
DxgkDdiIsSupportedVidPn	Implemented	VidPn validation.
DxgkDdiRecommendFunctionalVidPn	Implemented	VidPn recommendation.
DxgkDdiEnumVidPnCofuncModality	Implemented	Cofunctional modality enumeration.
DxgkDdiSetVidPnSourceAddress	Implemented	Classic scanout binding through validate_direct_scanout_binding.
DxgkDdiSetVidPnSourceVisibility	Implemented	Source visibility.
DxgkDdiCommitVidPn	Implemented	VidPn commit.
DxgkDdiUpdateActiveVidPnPresentPath	Implemented	Active present-path update.
DxgkDdiRecommendMonitorModes	Implemented	Monitor mode recommendation.
DxgkDdiRecommendVidPnTopology	Disabled	Optional. One source and one target, so the OS-built topology is accepted unchanged.
DxgkDdiGetScanLine	Implemented	Scan-line query.
DxgkDdiStopCapture	Disabled	No capture/VPE surface is advertised.
DxgkDdiControlInterrupt	Implemented	CRTC_VSYNC enable/disable; every other class is refused.
DxgkDdiCreateOverlay	Disabled	DXGK_DRIVERCAPS::MaxOverlays=0; the legacy overlay family is unreachable.
DxgkDdiDestroyDevice	Implemented	Per-device teardown.
DxgkDdiOpenAllocation	Implemented	Ordinary open; reads private data only, never restamps it.
DxgkDdiCloseAllocation	Implemented	Per-device allocation close.
DxgkDdiRender	Implemented	HVC1/HNR2 fragment assembly, validation and output patch generation.
DxgkDdiPresent	Implemented	Present DMA packet construction.
DxgkDdiUpdateOverlay	Disabled	DXGK_DRIVERCAPS::MaxOverlays=0; the legacy overlay family is unreachable.
DxgkDdiFlipOverlay	Disabled	DXGK_DRIVERCAPS::MaxOverlays=0; the legacy overlay family is unreachable.
DxgkDdiDestroyOverlay	Disabled	DXGK_DRIVERCAPS::MaxOverlays=0; the legacy overlay family is unreachable.
DxgkDdiCreateContext	Implemented	HVC1 / HQA1 context admission (section 10.7, 10.4).
DxgkDdiDestroyContext	Implemented	Context teardown.
DxgkDdiLinkDevice	Disabled	Section 10.2 topology row: one physical node, LDA is not advertised.
DxgkDdiSetDisplayPrivateDriverFormat	Disabled	No private display format is negotiated; the host owns the scanout format.
DxgkDdiDescribePageTable	Disabled	Obsolete WIN7-era PVOID slot; the WDK declares no callback type for it.
DxgkDdiUpdatePageTable	Disabled	Obsolete WIN7-era PVOID slot; the WDK declares no callback type for it.
DxgkDdiUpdatePageDirectory	Disabled	Obsolete WIN7-era PVOID slot; the WDK declares no callback type for it.
DxgkDdiMovePageDirectory	Disabled	Obsolete WIN7-era PVOID slot; the WDK declares no callback type for it.
DxgkDdiSubmitRender	Disabled	Obsolete WIN7-era PVOID slot; the WDK declares no callback type for it.
DxgkDdiCreateAllocation2	Disabled	Obsolete WIN7-era PVOID slot; the WDK declares no callback type for it.
DxgkDdiRenderKm	Implemented	Kernel-mode command buffer arm.
Reserved	Disabled	Reserved by the WDK; must stay NULL.
DxgkDdiQueryVidPnHWCapability	Implemented	Per-path hardware capability.
DxgkDdiSetPowerComponentFState	Disabled	No power components are declared and SupportRuntimePowerManagement is 0, so no F-state transition is requested.
DxgkDdiQueryDependentEngineGroup	Implemented	One node, one engine.
DxgkDdiQueryEngineStatus	Implemented	Per-engine progress for the TDR path.
DxgkDdiResetEngine	Implemented	Per-engine reset (SupportPerEngineTDR=1).
DxgkDdiStopDeviceAndReleasePostDisplayOwnership	Implemented	PnP stop with post-display ownership release.
DxgkDdiSystemDisplayEnable	Implemented	Bugcheck/system-display path.
DxgkDdiSystemDisplayWrite	Implemented	Bugcheck/system-display path.
DxgkDdiCancelCommand	Implemented	Cancel a queued packet.
DxgkDdiGetChildContainerId	Implemented	Mandatory once a monitor target is advertised.
DxgkDdiPowerRuntimeControlRequest	Implemented	Runtime power control requests.
